job_title,skills
Data Scientist,python machine learning deep learning pandas numpy sql statistics
Machine Learning Engineer,python scikit-learn tensorflow pytorch deep learning ml algorithms
AI Engineer,python ai machine learning nlp deep learning neural networks
Data Analyst,excel sql python pandas data visualization powerbi tableau
Business Analyst,excel sql communication requirements analysis data reporting
Web Developer,html css javascript react nodejs express mongodb
Frontend Developer,html css javascript react bootstrap ui ux
Backend Developer,nodejs express mongodb sql api development authentication
Full Stack Developer,html css javascript react nodejs express mongodb sql
Cyber Security Analyst,network security linux ethical hacking cryptography firewall
DevOps Engineer,docker kubernetes aws linux ci cd jenkins automation
Software Engineer,java python data structures algorithms system design
Mobile App Developer,flutter dart android ios mobile development firebase
Cloud Engineer,aws azure gcp cloud computing devops infrastructure
AI Researcher,python mathematics deep learning transformers nlp research papers
Database Administrator,sql database management performance tuning backup recovery
System Analyst,system design analysis documentation requirement gathering
Product Manager,product strategy communication agile scrum roadmap planning
UI UX Designer,figma adobe xd ui ux design wireframing prototyping
Data Engineer,python sql etl pipelines big data spark hadoop airflow